Year,LandAndOceanAverageTemperature
1901,15.936
1891,13.92
1950,16.66
1995,15.587
2013,17.257
1852,13.735999999999999
1969,13.517999999999999
1946,16.512999999999998
1995,17.375
1868,15.376
1942,16.147000000000002
1989,14.607
1972,15.438
2010,17.412
1945,16.358
1958,14.071000000000002
1959,17.002
1930,16.473000000000006
1930,15.081
1905,14.035
1931,14.317
1963,17.089000000000002
1924,13.342
1886,15.837
1881,16.665
1938,15.363
1866,17.06
1919,16.498
1892,16.303
1855,13.646
1865,16.749000000000002
1884,14.744000000000002
1946,13.638
1970,14.022
1936,15.089
1948,13.692
2006,13.99
2008,15.735
1988,17.173000000000002
1990,14.77
1900,14.189
1972,13.298
1993,13.895999999999999
1920,13.257
1925,14.155
1941,15.629000000000001
1930,14.505
1999,16.957
1864,12.879
1908,15.93
1996,16.847
1964,15.856
1878,16.711000000000002
1890,14.875
1934,15.02
1932,16.846
1885,16.105
1941,13.622
1851,14.161
1927,13.323
1858,16.51
1970,16.672
1924,13.585
1895,15.151
1966,15.315
2014,14.136
2011,17.203000000000007
1992,14.770999999999999
1936,16.811
1910,13.872
1955,15.333
1867,14.073
1883,14.915999999999999
1889,13.417
1928,16.796
1999,16.605
2009,16.570999999999998
1877,16.437
1905,15.788
1883,16.664
1865,16.657
1899,13.306
1851,16.831
1859,15.868
2011,14.193
1967,13.527
1964,16.634
1979,14.182
1923,15.724
1937,13.684000000000001
1854,14.123
2008,14.151
1886,13.001
1922,14.117
1894,15.656
2007,14.408
1966,16.826
2004,15.811
1876,15.89
1952,16.129
1873,15.965
2002,17.110000000000007
1937,15.523
1869,16.711000000000002
1969,15.445
1869,15.015999999999998
1898,13.351
1887,13.095999999999998
1855,13.384
1972,16.095
1863,13.356
1903,14.835
1956,13.444
1879,13.318
1947,13.692
1987,14.561
1898,13.395999999999999
2003,14.359000000000002
1911,13.164000000000001
1912,16.509
1896,16.762
1928,13.637
1889,15.305
1901,13.66
1852,16.566
1981,16.198
1902,16.69
1951,13.341
1875,13.974
1941,13.970999999999998
1901,16.000999999999998
2015,16.29
1972,14.446
1866,13.732000000000001
1951,16.768
1976,14.124
1865,15.157
1987,16.900000000000002
1909,13.993
1998,16.671
1937,16.402
1902,16.032
1873,14.151
1885,14.020999999999999
2007,17.485
1854,13.467
1887,16.63
2003,14.207
1966,16.273
1884,13.6
1903,13.668
1868,15.992
1850,16.352999999999998
1955,14.179
1931,13.529000000000002
1940,14.48
1852,14.786
1976,15.778
1879,15.25
2008,14.061
1968,13.724
1932,16.018
1862,13.192
1892,15.126
1943,13.939
1892,15.998
1978,16.601000000000006
1993,15.482
1966,14.362
1909,13.217
1895,16.715999999999998
1913,13.065999999999999
1854,14.089
1880,15.008
1874,15.75
1974,15.182
