Year,LandAverageTemperature,LandMaxTemperature,LandMinTemperature
1909,10.610999999999999,16.668000000000006,4.380000000000001
1968,9.453,15.086,3.787
1935,4.125,9.943999999999999,-1.717
1876,14.319,19.855,7.891
1870,7.879,14.287,1.5699999999999998
1973,3.0380000000000003,8.491999999999999,-2.3080000000000003
1990,9.169,15.058,3.373
1930,13.927999999999999,19.803,7.995999999999999
1958,5.4529999999999985,11.321,-0.5489999999999999
1852,2.54,8.568999999999999,-2.337
1900,8.222999999999999,13.972,2.131
2013,7.423999999999999,12.965,2.016
1979,2.841,8.525,-2.7590000000000003
2011,6.814,12.395,1.432
1947,10.011,15.797,4.313
1855,8.58,13.709,1.1409999999999998
2004,14.312,20.087,8.624
1923,3.88,9.269,-1.903
1887,11.707,17.392000000000003,5.7010000000000005
1992,14.139,19.853,8.421
2008,14.145,19.973,8.266
1944,12.45,18.453000000000007,6.614
1916,12.942,18.91,6.867000000000001
2004,10.127,15.843,4.511
1920,11.130999999999998,17.145,5.126
1920,5.227,11.034,-0.782
1943,9.907,15.859000000000002,4.0680000000000005
1895,4.689,10.838,-1.594
1941,11.493,17.259,5.5820000000000025
1960,12.095,17.855999999999995,6.497999999999998
1991,14.319,20.035999999999998,8.61
1887,5.5920000000000005,11.66,-0.2640000000000001
2007,4.5790000000000015,10.084,-0.8180000000000003
2009,6.086,12.065,0.132
1977,14.09,19.673,8.463999999999999
1976,2.884,8.398,-2.452
1872,2.627,8.526,-3.418
1984,5.671,11.540999999999999,-0.07800000000000001
1977,8.85,14.751,3.0580000000000003
1976,13.511,19.163,7.645999999999999
1927,9.887,15.627,4.02
1943,12.095999999999998,18.029000000000003,6.325
1918,11.880999999999998,17.999000000000006,5.8
1953,11.514,17.358,5.53
1966,3.29,9.004999999999997,-2.4210000000000003
2010,4.399,10.033999999999999,-1.107
1874,9.12,15.841,3.025
1999,5.53,11.4,-0.274
1870,5.6,12.574000000000002,0.629
1986,11.581,17.393,5.8889999999999985
1855,11.186,16.77,4.2860000000000005
1865,2.975,8.841000000000003,-3.212
2002,14.56,20.444000000000006,8.806999999999997
1935,9.516,15.379,3.7
2006,4.987,10.345999999999998,-0.2430000000000001
1884,10.198,16.465999999999998,3.9890000000000008
1959,13.853,19.532,8.321
2010,3.737,9.245,-1.6770000000000005
1864,4.651,11.747,-0.7250000000000001
1967,13.821,19.593,8.171999999999999
1919,13.228,19.017,7.102
1954,12.097999999999999,17.852,6.3679999999999986
1975,13.557,19.275,7.796
1947,13.827,19.541,8.001999999999999
1961,11.624,17.592000000000002,5.729
1916,4.846,10.960999999999999,-1.584
1950,2.008,7.6110000000000015,-3.622
1863,8.235,13.944,3.282
1920,13.105,18.9,7.057
1965,5.86,11.337,0.354
1959,11.946,17.663,6.3439999999999985
1984,13.387,19.05,7.662000000000001
1914,11.915,17.747000000000003,5.8660000000000005
1923,13.296,19.055999999999997,7.1389999999999985
1866,4.421,10.824000000000002,-0.8809999999999999
1940,2.335,7.9419999999999975,-3.35
1870,2.1340000000000003,8.544,-3.527
1998,6.404,11.872,1.039
1962,5.53,11.537,-0.41600000000000004
2012,6.023,12.025,0.07499999999999996
2008,15.174,21.006,9.407
1995,14.164,20.115,8.232000000000001
1869,12.247,17.561,5.377000000000002
1872,7.845999999999999,14.041,1.464
1943,5.138,11.123,-0.812
1896,4.279,10.469,-1.868
1937,14.375,20.154,8.41
1975,11.742,17.484,5.8420000000000005
1995,3.54,8.895,-1.7690000000000001
1926,9.55,15.474,3.6010000000000004
2003,14.983,20.757,9.222999999999999
1869,2.115,8.206,-3.173
2008,12.053999999999998,17.989,6.053000000000001
1947,13.459,19.361,7.452000000000001
1990,12.195,17.993000000000006,6.597
1928,12.03,17.980999999999995,6.02
1949,11.957,17.969,6.0520000000000005
1905,9.041,14.866,3.117
1953,3.998,9.366,-1.2990000000000002
1902,13.599,19.884,7.449
1868,4.538,11.411,-0.63
2003,6.047999999999999,11.972,0.215
1880,3.1060000000000003,7.6869999999999985,-2.657
1907,13.362,19.187,7.464999999999999
1895,11.743,17.597,5.687
1991,4.059,9.284,-1.061
1867,8.258,13.852,2.307
1961,9.328,15.057,3.508
1934,9.421,15.371,3.629
1977,2.492,7.7639999999999985,-2.648
1868,13.744000000000002,19.817999999999998,8.120999999999999
1968,14.026,19.734,8.431000000000001
1956,11.783,17.500999999999998,5.872000000000001
1914,5.759,11.287,0.239
1952,9.157,15.032,3.294
1861,8.475,15.644,3.277
1858,2.2840000000000003,7.829,-4.1480000000000015
1980,11.77,17.713,6.131
1983,13.478,19.217,7.819
1857,11.056,17.223000000000006,5.146
1899,12.127999999999998,18.223000000000006,5.974
1921,14.436,20.42,8.424
1956,5.738,11.414,0.134
1988,6.295,11.837,0.841
1856,4.372,10.327,-2.241
1888,11.685,17.808000000000003,5.4689999999999985
1877,2.928,9.755,-2.357
1855,4.617,10.16,-1.865
1989,3.627,9.3,-1.9240000000000002
1871,3.1630000000000003,7.912000000000001,-3.677
1871,8.34,13.97,1.89
1990,13.892999999999999,19.785999999999998,8.167
1966,5.527,11.296,-0.42
1922,11.775,17.660999999999994,5.754
1890,11.546,17.266000000000002,5.494
1900,9.666,15.544,3.833
1903,5.516,11.219,-0.050999999999999934
2005,13.217,19.110000000000007,7.412000000000001
1908,8.865,14.675,2.948
1899,13.777,19.598,7.645999999999999
1891,13.496,19.472,7.289999999999999
1856,5.36,10.349,-1.433
1882,8.445,14.595999999999998,2.784
2010,10.442,16.115,4.905
1878,9.173,15.255,3.506
1897,9.197,15.166,3.279
1963,2.9010000000000002,8.671,-2.6790000000000003
1898,2.354,8.238999999999999,-3.651
1901,14.339,20.34,8.161
1946,9.281,15.175,3.577
1923,2.563,8.298,-3.172
1928,6.336,11.933,0.629
1933,4.869,10.774,-1.27
1854,1.9409999999999998,8.508,-4.109
1973,5.82,11.605,0.109
1860,7.76,13.511,1.805
2005,9.618,15.550999999999998,3.697
1997,3.766,9.456,-1.885
1967,14.331,20.142,8.706
1850,11.505,15.846000000000002,4.533
1879,2.303,8.558,-3.3110000000000004
1908,13.376,19.359,7.499
1930,11.874,17.754,5.935
1873,13.755,19.241,7.446999999999999
1885,13.972,20.205,7.627999999999999
1918,7.643999999999999,13.706,1.426
1963,13.412,19.276,7.604
2003,9.154,15.033,3.209
1907,10.375,16.335,4.0840000000000005
1976,3.031,8.509,-2.443
1905,2.254,8.017000000000001,-3.3240000000000003
2011,9.482999999999999,15.45,3.524
1881,11.165,17.283,5.263000000000001
1939,4.926,10.835999999999999,-1.1
1999,6.5920000000000005,12.121,1.107
1997,6.841,12.195,1.503
1850,4.954,10.347,-1.905
1885,10.567,16.704,4.202
2001,14.427,20.332,8.664
1908,3.071,8.901,-2.535
1888,7.845,13.884,1.66
1911,9.263,14.99,3.401
1905,6.183,11.984000000000002,0.574
1929,6.1720000000000015,11.757,0.377
1995,12.565,18.382,6.921
1968,11.068,16.76,5.176
1980,2.9560000000000004,8.468,-2.4570000000000003
1937,2.4530000000000003,7.879,-3.216
1971,2.967,8.530999999999999,-2.531
1992,13.575999999999999,19.36,7.818
1852,8.91,14.849,2.813
2005,15.19,20.88,9.568999999999999
1960,13.825,19.604,8.241999999999999
1875,13.157,19.602999999999998,6.497000000000001
1861,13.967,19.37,7.803
1871,4.6850000000000005,11.047,-1.75
2013,3.685,9.255,-1.7260000000000002
1937,4.851,10.731,-1.413
1981,8.953,14.817,3.131
1991,4.0440000000000005,9.774,-1.499
1926,8.193,14.095,2.006
1997,4.417,9.634,-0.7370000000000001
1940,13.583,19.500999999999998,7.532
1909,14.06,19.787,8.05
1974,14.288,19.925,8.654
1940,3.423,9.25,-2.488
1966,8.161,13.951,2.331
1984,2.9410000000000003,8.338,-2.2350000000000003
1898,13.579,19.628,7.656999999999999
1984,14.429,20.109,8.958
1901,11.177999999999999,17.315,4.855
1891,5.115,11.033,-0.7809999999999999
1950,13.382,19.29,7.501
1995,8.972000000000003,14.839,3.162
2013,14.568,20.44,8.685
1852,3.884,9.215,-2.491
1969,1.966,7.228999999999999,-3.298
1946,13.298,19.086,7.197
1995,15.116,20.803,9.331
1868,9.448,14.925,3.0860000000000003
1942,11.338,17.195999999999998,5.3980000000000015
1989,5.792000000000002,11.628,0.1309999999999999
1972,9.346,15.057,3.84
2010,14.768,20.656,8.984
1945,12.225,18.078000000000007,6.414
1958,3.695,9.546,-1.949
1959,14.449000000000002,20.236,8.854
1930,13.347,19.070999999999998,7.295
1930,8.181999999999999,14.017,2.072
1905,4.635,10.466,-1.308
1931,6.2429999999999986,11.63,0.5449999999999999
1963,14.505999999999998,20.229,8.797
1924,3.485,8.639,-2.021
1886,10.784,17.195999999999998,4.4220000000000015
1881,13.71,19.879,8.046999999999999
1938,8.913,14.984000000000002,2.968
1866,14.602,20.369,8.183
1919,13.786,19.804,7.842
1892,13.263,19.003,6.86
1855,2.9819999999999998,7.604,-4.947
1865,14.22,19.108,8.163
1884,7.185999999999999,13.58,0.6990000000000001
1946,2.979,8.484,-2.547
1970,3.735,9.543,-2.02
1936,8.126999999999999,14.082,1.976
1948,3.22,9.033999999999999,-2.613
2006,3.286,8.616999999999999,-1.942
2008,9.295,15.42,3.175
1988,14.553,20.124,8.905
1990,6.92,12.561,1.345
1900,5.8039999999999985,11.527,0.121
1972,1.882,7.391999999999999,-3.5490000000000004
1993,3.301,8.666,-1.9190000000000005
1920,2.841,8.443999999999999,-2.942
1925,5.126,11.133,-1.14
1941,9.71,15.504,3.988
1930,6.574,12.032,0.8919999999999999
1999,14.030999999999999,19.831,8.205
