Year,AverageTemperature
1977,27.573
1951,24.35
1999,20.005
2003,15.741
1843,26.793000000000006
1851,4.945
1847,-0.7969999999999999
1979,28.964
1913,22.008000000000003
2006,12.053
1959,26.741
1987,32.863
1833,19.567
1886,22.917
1989,4.175
1997,19.862
1751,-3.4330000000000003
1985,27.767
1834,19.822000000000006
1857,26.69
1966,26.012
1942,28.28
1982,8.065
1885,24.117
1885,22.126
1944,17.71
1876,17.955000000000005
1912,18.986
2000,22.37
1948,11.47
1983,28.312
1836,15.364
1795,16.619
1916,27.622
1963,25.79
1985,27.22300000000001
1963,20.239
1869,12.992
1994,11.237
1918,19.794
1852,20.482000000000006
1951,10.156
1967,15.765999999999998
2009,4.499
1979,6.481
1874,4.803
1845,23.511
1923,24.35
1914,13.788
2000,27.023000000000003
1804,27.747
1920,-2.225
1865,25.3
1921,1.5119999999999998
1769,5.083000000000001
1966,20.450000000000006
1864,22.467
1933,28.341
1931,27.891
1996,-3.482
1786,10.588
1989,28.392000000000003
1934,20.947
1996,15.550999999999998
1827,6.775
1995,14.465
1874,19.127
1992,27.113000000000003
1850,0.432
1869,26.312
1949,16.929000000000002
1846,27.358
1952,3.959
2007,14.736
1900,30.072000000000006
1922,20.22
1917,28.455
2007,7.702000000000001
1890,-3.496
1837,29.61
1976,21.179
1874,-5.581
1857,21.557
1997,21.457
1976,-1.108
1884,23.758000000000006
1820,24.519
1819,21.122
1888,19.87
1903,3.838
1938,8.472999999999999
1984,28.852
1984,30.077
1782,5.285
1860,17.090999999999998
1833,7.207000000000001
1945,7.129
1928,29.918000000000003
1804,5.771
1937,26.423
1882,25.987
1989,32.172000000000004
1972,13.086
1813,3.36
1929,17.315
1989,6.082999999999999
1958,35.298
1982,20.568
1863,26.919
1855,25.547
1917,15.064
1999,19.895
1918,13.783
1852,21.602
1952,22.032
1906,20.521
1887,16.118000000000002
1966,19.399
1918,14.331
1890,7.0760000000000005
1948,30.433000000000003
1874,25.508000000000003
1957,8.401
1860,27.028
1984,9.194
1970,28.253
1842,25.646
1984,13.582
1978,19.589
1898,0.838
1791,6.501
1845,26.71
1908,25.841
1938,26.156
1851,17.689999999999994
1824,19.554
1901,27.533
1897,18.384
2003,16.085
1908,-3.796
1992,16.487000000000002
1965,-3.69
1928,27.572
2007,17.139
1970,24.741
1987,14.985
1965,4.175
1903,12.912
1996,18.625
1994,25.969
2003,0.901
1956,11.374
1769,10.878
2001,5.606000000000001
1891,23.06
1925,20.296
1978,26.979
2004,26.512
1856,9.435
1815,27.453000000000003
2001,24.397
1882,15.529000000000002
1855,27.883000000000003
1929,30.868
1908,21.578000000000003
1930,26.335
2002,20.924
1939,19.017
1986,20.384
1936,26.519
1870,26.292
1925,28.51
1921,0.1110000000000002
1998,-0.123
1910,19.846
1954,22.109
1832,-12.547
1928,24.831
1872,32.32299999999999
1944,4.0760000000000005
1900,11.747
1872,25.33
1972,34.510000000000005
2007,3.3230000000000004
1923,15.393
1868,24.56900000000001
2003,23.356
1824,14.197
1987,15.593
1791,14.39
1868,18.597
1875,22.887
1853,18.153
